2023-05-29 17:54:46,777 | INFO | ----------------------

2023-05-29 17:56:05,761 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2023-05-29 17:56:05,761 | INFO | ----------------------------------------

2023-05-29 17:56:06,074 | INFO | Selecting 231 principal component making up 95% of the variance:

2023-05-29 17:56:06,075 | INFO | -----------------------------------------------------------------------

2023-05-29 17:56:06,077 | INFO | PCA with 95% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-29 17:56:06,077 | INFO | -------------------------------------------------------------------

2023-05-29 17:56:06,077 | INFO | GridSearchCV Starting:
2023-05-29 17:56:06,077 | INFO | ----------------------

2023-05-29 17:57:44,371 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2023-05-29 17:57:44,372 | INFO | ----------------------------------------

2023-05-29 17:57:44,741 | INFO | Selecting 572 principal component making up 100% of the variance:

2023-05-29 17:57:44,742 | INFO | -----------------------------------------------------------------------

2023-05-29 17:57:44,744 | INFO | PCA with 100% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-29 17:57:44,745 | INFO | -------------------------------------------------------------------

2023-05-29 17:57:44,745 | INFO | GridSearchCV Starting:
2023-05-29 17:57:44,746 | INFO | ----------------------

2023-05-29 18:00:39,125 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2023-05-29 18:00:39,126 | INFO | ----------------------------------------

2023-05-29 18:00:39,728 | INFO | Forward Selection Starting
2023-05-29 18:00:39,729 | INFO | --------------------------

2023-05-29 18:00:39,730 | INFO | Performing Forward Selection with ratio of 0.05
2023-05-29 18:00:39,730 | INFO | ---------------------------------------------------

2023-05-29 18:04:56,778 | INFO | Performing Forward Selection with ratio of 0.15000000000000002
2023-05-29 18:04:56,778 | INFO | ---------------------------------------------------

2023-05-29 18:18:44,114 | INFO | Performing Forward Selection with ratio of 0.25000000000000006
2023-05-29 18:18:44,114 | INFO | ---------------------------------------------------

2023-05-29 18:43:13,697 | INFO | Performing Forward Selection with ratio of 0.35000000000000003
2023-05-29 18:43:13,697 | INFO | ---------------------------------------------------

2023-05-29 19:56:24,516 | INFO | Performing Forward Selection with ratio of 0.45000000000000007
2023-05-29 19:56:24,516 | INFO | ---------------------------------------------------

